"Notes"	"Region"	"Region Code"	"Month, Year"	"Month, Year Code"	Avg Daily Sunlight (KJ/m^2)
	"Census Region 1: Northeast"	"CENS-R1"	"Jan, 1979"	"1979/01"	5556.03
	"Census Region 1: Northeast"	"CENS-R1"	"Feb, 1979"	"1979/02"	9723.85
	"Census Region 1: Northeast"	"CENS-R1"	"Mar, 1979"	"1979/03"	13552.12
	"Census Region 1: Northeast"	"CENS-R1"	"Apr, 1979"	"1979/04"	16226.62
	"Census Region 1: Northeast"	"CENS-R1"	"May, 1979"	"1979/05"	19522.46
	"Census Region 1: Northeast"	"CENS-R1"	"Jun, 1979"	"1979/06"	22794.30
	"Census Region 1: Northeast"	"CENS-R1"	"Jul, 1979"	"1979/07"	21639.32
	"Census Region 1: Northeast"	"CENS-R1"	"Aug, 1979"	"1979/08"	18113.86
	"Census Region 1: Northeast"	"CENS-R1"	"Sep, 1979"	"1979/09"	15471.58
	"Census Region 1: Northeast"	"CENS-R1"	"Oct, 1979"	"1979/10"	9627.81
	"Census Region 1: Northeast"	"CENS-R1"	"Nov, 1979"	"1979/11"	6608.24
	"Census Region 1: Northeast"	"CENS-R1"	"Dec, 1979"	"1979/12"	5989.30
	"Census Region 1: Northeast"	"CENS-R1"	"Jan, 1980"	"1980/01"	6702.27
	"Census Region 1: Northeast"	"CENS-R1"	"Feb, 1980"	"1980/02"	9135.03
	"Census Region 1: Northeast"	"CENS-R1"	"Mar, 1980"	"1980/03"	13646.18
	"Census Region 1: Northeast"	"CENS-R1"	"Apr, 1980"	"1980/04"	16837.29
	"Census Region 1: Northeast"	"CENS-R1"	"May, 1980"	"1980/05"	20377.58
	"Census Region 1: Northeast"	"CENS-R1"	"Jun, 1980"	"1980/06"	21923.25
	"Census Region 1: Northeast"	"CENS-R1"	"Jul, 1980"	"1980/07"	21584.98
	"Census Region 1: Northeast"	"CENS-R1"	"Aug, 1980"	"1980/08"	19040.72
	"Census Region 1: Northeast"	"CENS-R1"	"Sep, 1980"	"1980/09"	15860.59
	"Census Region 1: Northeast"	"CENS-R1"	"Oct, 1980"	"1980/10"	9808.06
	"Census Region 1: Northeast"	"CENS-R1"	"Nov, 1980"	"1980/11"	6785.09
	"Census Region 1: Northeast"	"CENS-R1"	"Dec, 1980"	"1980/12"	5962.29
	"Census Region 1: Northeast"	"CENS-R1"	"Jan, 1981"	"1981/01"	6802.95
	"Census Region 1: Northeast"	"CENS-R1"	"Feb, 1981"	"1981/02"	8697.99
	"Census Region 1: Northeast"	"CENS-R1"	"Mar, 1981"	"1981/03"	12671.33
	"Census Region 1: Northeast"	"CENS-R1"	"Apr, 1981"	"1981/04"	16783.15
	"Census Region 1: Northeast"	"CENS-R1"	"May, 1981"	"1981/05"	21334.10
	"Census Region 1: Northeast"	"CENS-R1"	"Jun, 1981"	"1981/06"	21513.74
	"Census Region 1: Northeast"	"CENS-R1"	"Jul, 1981"	"1981/07"	20791.74
	"Census Region 1: Northeast"	"CENS-R1"	"Aug, 1981"	"1981/08"	18872.92
	"Census Region 1: Northeast"	"CENS-R1"	"Sep, 1981"	"1981/09"	13212.92
	"Census Region 1: Northeast"	"CENS-R1"	"Oct, 1981"	"1981/10"	9735.48
	"Census Region 1: Northeast"	"CENS-R1"	"Nov, 1981"	"1981/11"	7135.28
	"Census Region 1: Northeast"	"CENS-R1"	"Dec, 1981"	"1981/12"	5427.10
	"Census Region 1: Northeast"	"CENS-R1"	"Jan, 1982"	"1982/01"	6549.74
	"Census Region 1: Northeast"	"CENS-R1"	"Feb, 1982"	"1982/02"	9746.44
	"Census Region 1: Northeast"	"CENS-R1"	"Mar, 1982"	"1982/03"	14493.94
	"Census Region 1: Northeast"	"CENS-R1"	"Apr, 1982"	"1982/04"	18768.34
	"Census Region 1: Northeast"	"CENS-R1"	"May, 1982"	"1982/05"	19265.09
	"Census Region 1: Northeast"	"CENS-R1"	"Jun, 1982"	"1982/06"	19208.42
	"Census Region 1: Northeast"	"CENS-R1"	"Jul, 1982"	"1982/07"	22346.20
	"Census Region 1: Northeast"	"CENS-R1"	"Aug, 1982"	"1982/08"	18467.26
	"Census Region 1: Northeast"	"CENS-R1"	"Sep, 1982"	"1982/09"	14803.93
	"Census Region 1: Northeast"	"CENS-R1"	"Oct, 1982"	"1982/10"	11350.46
	"Census Region 1: Northeast"	"CENS-R1"	"Nov, 1982"	"1982/11"	6751.64
	"Census Region 1: Northeast"	"CENS-R1"	"Dec, 1982"	"1982/12"	5747.49
	"Census Region 1: Northeast"	"CENS-R1"	"Jan, 1983"	"1983/01"	6790.13
	"Census Region 1: Northeast"	"CENS-R1"	"Feb, 1983"	"1983/02"	9836.18
	"Census Region 1: Northeast"	"CENS-R1"	"Mar, 1983"	"1983/03"	13440.25
	"Census Region 1: Northeast"	"CENS-R1"	"Apr, 1983"	"1983/04"	15423.01
	"Census Region 1: Northeast"	"CENS-R1"	"May, 1983"	"1983/05"	18046.44
	"Census Region 1: Northeast"	"CENS-R1"	"Jun, 1983"	"1983/06"	23334.24
	"Census Region 1: Northeast"	"CENS-R1"	"Jul, 1983"	"1983/07"	21876.11
	"Census Region 1: Northeast"	"CENS-R1"	"Aug, 1983"	"1983/08"	19034.22
	"Census Region 1: Northeast"	"CENS-R1"	"Sep, 1983"	"1983/09"	15927.68
	"Census Region 1: Northeast"	"CENS-R1"	"Oct, 1983"	"1983/10"	10791.35
	"Census Region 1: Northeast"	"CENS-R1"	"Nov, 1983"	"1983/11"	6587.25
	"Census Region 1: Northeast"	"CENS-R1"	"Dec, 1983"	"1983/12"	5363.29
	"Census Region 1: Northeast"	"CENS-R1"	"Jan, 1984"	"1984/01"	6761.24
	"Census Region 1: Northeast"	"CENS-R1"	"Feb, 1984"	"1984/02"	9124.83
	"Census Region 1: Northeast"	"CENS-R1"	"Mar, 1984"	"1984/03"	13730.28
	"Census Region 1: Northeast"	"CENS-R1"	"Apr, 1984"	"1984/04"	16586.51
